Material,Batch,End Date,Period,Year,U.O.M.,Theoretical Yield,G.R.Qty,Total Input in ML,QC Qty (ML),Theoretical Yield(ML),G.R.Qty(ML),Waste in ML,% Waste loss,Waste Total Cost
YW6837P,6888073,13/01/2024,1,2024,PLT,419.823,349,109336,182,109153.98,90740,18413.98,16.9,244.91
PP8158Y,6888083,13/01/2024,1,2024,PLT,114.699,94,20735.79,90,20645.82,16920,3725.82,18,105.07
HS4030Z,6888093,13/01/2024,1,2024,PLT,145.5,127,27740.025,95,27645,24130,3515,12.7,90.34
BG2424L,6888103,13/01/2024,1,2024,PAK,226.322,187,38559.7,85,38474.74,31790,6684.74,17.4,226.61
EN0891Z,6888113,13/01/2024,1,2024,PAK,125.247,96,21377,85,21291.99,16320,4971.99,23.4,115.85
TQ9608P,6888123,13/01/2024,1,2024,PLT,1100.171,1080,209184.4,152,209032.49,205200,3832.49,1.8,45.22
TQ9608P,6888133,13/01/2024,1,2024,PLT,1100.171,1166,209184.4,152,209032.49,221540,12507.51,-6,-147.59
GF2716Q,6888143,13/01/2024,1,2024,PLT,1719.317,1580,310917,1440,309477.06,284400,25077.06,8.1,300.92
NH7826U,6888153,13/01/2024,1,2024,PLT,1163,946,209484,144,209340,170280,39060,18.7,578.09
JQ7006J,6888163,13/01/2024,1,2024,PLT,1580.954,1356,415208,4160,411048.04,352560,58488.04,14.2,561.49
JQ7006J,6888173,13/01/2024,1,2024,PLT,1580.954,767,415208,4160,411048.04,199420,211628.04,51.5,2031.63
ER5186B,6888183,13/01/2024,1,2024,PLT,322.195,311,61350,133,61217.05,59090,2127.05,3.5,21.48
RO7331C,6888193,13/01/2024,1,2024,PLT,2365.667,2337,426108,288,425820.06,420660,5160.06,1.2,62.95
AB1535W,6888203,13/01/2024,1,2024,PLT,328.005,293,62454,133,62320.95,55670,6650.95,10.7,75.16
AB1535W,6888213,13/01/2024,1,2024,PLT,328.005,308,62454,133,62320.95,58520,3800.95,6.1,42.95
SY8717I,6888223,13/01/2024,1,2024,PLT,135.554,90,25850.25,95,25755.26,17100,8655.26,33.6,89.15
CX5753T,6888233,13/01/2024,1,2024,PLT,33.896,26,6394.68,56.1,6338.552,4862,1476.552,23.3,29.68
QQ9907S,6888243,13/01/2024,1,2024,PLT,67.434,50,17662.937,130,17532.84,13000,4532.84,25.9,65.73
JO6751Q,6888253,13/01/2024,1,2024,PLT,56.969,46,10746.715,93.5,10653.203,8602,2051.203,19.3,23.59
RD5975P,6888263,13/01/2024,1,2024,PLT,332.445,318,59966.11,126,59840.1,57240,2600.1,4.3,75.14
KG5732C,6888273,13/01/2024,1,2024,PLT,649.432,693,123525.058,133,123392.08,131670,8277.92,-6.7,-180.46
FE6647F,6888283,13/01/2024,1,2024,PLT,45.222,37,10470,69,10401.06,8510,1891.06,18.2,18.15
FE6647F,6888293,13/01/2024,1,2024,PLT,45.222,21,10470,69,10401.06,4830,5571.06,53.6,53.48
PT4146F,6888303,13/01/2024,1,2024,PLT,870.364,857,157925.492,1260,156665.52,154260,2405.52,1.5,41.13
PT4146F,6888313,13/01/2024,1,2024,PLT,870.364,825,157925.492,1260,156665.52,148500,8165.52,5.2,139.63
JY8910V,6888323,13/01/2024,1,2024,PLT,293.903,232,51520.451,87.5,51433.025,40600,10833.025,21.1,262.16
SX0386C,6888333,13/01/2024,1,2024,PAK,938,885,159579,119,159460,150450,9010,5.7,195.52
SX0386C,6888343,13/01/2024,1,2024,PAK,938,854,159579,119,159460,145180,14280,9,309.88
SX0386C,6888353,13/01/2024,1,2024,PAK,938,880,159579,119,159460,149600,9860,6.2,213.96
BT2341N,6888363,13/01/2024,1,2024,PAK,119.441,100,20390,85,20304.97,17000,3304.97,16.3,36.69
SA2071C,6888373,13/01/2024,1,2024,PAK,698.229,453,118920,221,118698.93,77010,41688.93,35.1,879.64
XT8427Y,6888383,13/01/2024,1,2024,PAK,1210.094,1036,205852,136,205715.98,176120,29595.98,14.4,426.18
BS9035V,6888393,13/01/2024,1,2024,PAK,665.618,600,113274,119,113155.06,102000,11155.06,9.9,284.45
BS9035V,6888403,13/01/2024,1,2024,PAK,665.618,608,113274,119,113155.06,103360,9795.06,8.7,249.77
BS9035V,6888413,13/01/2024,1,2024,PAK,665.618,627,113274,119,113155.06,106590,6565.06,5.8,167.41
JM1441K,6888423,14/01/2024,1,2024,PLT,1865.131,80,337163.49,1440,335723.58,14400,321323.58,95.7,5012.65
JM1441K,6888433,14/01/2024,1,2024,PLT,1865.131,1313,337163.49,1440,335723.58,236340,99383.58,29.6,1550.38
ON0348A,6888443,14/01/2024,1,2024,PLT,969.895,906,175841.16,1260,174581.1,163080,11501.1,6.6,204.72
