Material,Batch,End Date,Period,Year,U.O.M.,Theoretical Yield,G.R.Qty,Total Input in ML,QC Qty (ML),Theoretical Yield(ML),G.R.Qty(ML),Waste in ML,% Waste loss,Waste Total Cost
IY0225F,6890333,20/01/2024,1,2024,PLT,1655.737,1754,316110,1520,314590.03,333260,18669.97,-5.9,-231.51
BP3944H,6890343,20/01/2024,1,2024,PLT,918.378,900,203583.08,1540,202043.16,198000,4043.16,2,47.71
BP3944H,6890353,20/01/2024,1,2024,PLT,918.378,891,203583.08,1540,202043.16,196020,6023.16,3,71.07
BP3944H,6890363,20/01/2024,1,2024,PLT,918.378,844,203583.08,1540,202043.16,185680,16363.16,8.1,193.09
FG2953V,6890373,20/01/2024,1,2024,PLT,1221.872,1073,220081,144,219936.96,193140,26796.96,12.2,530.58
JM1433T,6890383,20/01/2024,1,2024,PLT,134.105,117,25575,95,25479.95,22230,3249.95,12.8,36.07
UI0963J,6890393,20/01/2024,1,2024,PLT,119.409,99,22839.7,152,22687.71,18810,3877.71,17.1,69.41
IV4575J,6890403,20/01/2024,1,2024,PLT,137.855,119,26287.5,95,26192.45,22610,3582.45,13.7,40.84
VG2135W,6890413,20/01/2024,1,2024,PLT,136.983,81,25709.25,93.5,25615.821,15147,10468.821,40.9,108.88
PX8242U,6890423,20/01/2024,1,2024,PLT,109.593,97,20917.6,95,20822.67,18430,2392.67,11.5,34.45
DF0683I,6890433,20/01/2024,1,2024,PLT,58.044,39,10537.9,90,10447.92,7020,3427.92,32.8,50.05
LL4597N,6890443,20/01/2024,1,2024,PLT,346.522,322,62464.02,90,62373.96,57960,4413.96,7.1,77.24
LL4597N,6890453,20/01/2024,1,2024,PLT,346.522,316,62464.02,90,62373.96,56880,5493.96,8.8,96.14
MK4982E,6890463,20/01/2024,1,2024,PLT,37.595,49,7200,57,7143.05,9310,2166.95,-30.3,-29.9
ES3930L,6890473,20/01/2024,1,2024,PLT,337.672,356,64290.72,133,64157.68,67640,3482.32,-5.4,-53.98
OR0171G,6890483,20/01/2024,1,2024,PLT,2303.244,2220,414872,288,414583.92,399600,14983.92,3.6,325.15
EJ7514O,6890493,20/01/2024,1,2024,PLT,137.658,136,26250,95,26155.02,25840,315.02,1.2,3.84
QP6157U,6890503,20/01/2024,1,2024,PLT,94.26,84,17720.12,93.5,17626.62,15708,1918.62,10.9,22.83
XC0105N,6890513,20/01/2024,1,2024,PLT,145.799,134,27796.75,95,27701.81,25460,2241.81,8.1,63.89
RD5975P,6890523,20/01/2024,1,2024,PLT,332.445,277,59966.11,126,59840.1,49860,9980.1,16.7,288.42
XO8348Z,6890533,20/01/2024,1,2024,PLT,1164.971,1152,209838.7,144,209694.78,207360,2334.78,1.1,37.36
HC6613Q,6890543,20/01/2024,1,2024,PLT,1187.388,1160,207932.972,140,207792.9,203000,4792.9,2.3,87.23
SA2071C,6890553,20/01/2024,1,2024,PAK,698.229,670,118920,221,118698.93,113900,4798.93,4,101.26
GU2783J,6890563,21/01/2024,1,2024,PLT,1080.187,943,196413.6,1980,194433.66,169740,24693.66,12.7,365.47
UL5050K,6890573,21/01/2024,1,2024,PLT,298.804,265,54684.75,900,53784.72,47700,6084.72,11.3,93.7
YQ5607V,6890583,21/01/2024,1,2024,PLT,1214.589,1145,220066,1440,218626.02,206100,12526.02,5.7,261.79
CI3726D,6890593,21/01/2024,1,2024,PLT,941.986,614,169683.42,126,169557.48,110520,59037.48,34.8,1056.77
NT1489L,6890603,21/01/2024,1,2024,PLT,114.256,104,21803.6,95,21708.64,19760,1948.64,9,30.98
CT1716F,6890613,21/01/2024,1,2024,PLT,908.957,758,163738.2,126,163612.26,136440,27172.26,16.6,413.02
RF4956X,6890623,21/01/2024,1,2024,PLT,303.24,268,54673.161,90,54583.2,48240,6343.2,11.6,100.22
VF5276R,6890633,21/01/2024,1,2024,PLT,938.053,880,164281.8,122.5,164159.275,154000,10159.275,6.2,165.6
MS4740W,6890643,21/01/2024,1,2024,PLT,809.674,805,145867.29,126,145741.32,144900,841.32,0.6,15.9
YW6837P,6890653,21/01/2024,1,2024,PLT,419.823,366,109336,182,109153.98,95160,13993.98,12.8,186.12
YW6837P,6890663,21/01/2024,1,2024,PLT,419.823,360,109336,182,109153.98,93600,15553.98,14.2,206.87
SW3835S,6890673,21/01/2024,1,2024,PLT,212.46,187,42592.04,100,42492,37400,5092,12,75.36
VL0646O,6890683,21/01/2024,1,2024,PLT,208.508,193,41801.514,100,41701.6,38600,3101.6,7.4,184.86
VR7805R,6890693,21/01/2024,1,2024,PLT,218.606,186,43881.2,160,43721.2,37200,6521.2,14.9,116.08
VD1915C,6890703,21/01/2024,1,2024,PLT,213.761,196,42852.2,100,42752.2,39200,3552.2,8.3,46.89
RJ0828L,6890713,21/01/2024,1,2024,PLT,1151.367,1020,207390,144,207246.06,183600,23646.06,11.4,276.66
NH7826U,6890723,21/01/2024,1,2024,PLT,1196.251,1080,209484,140,209343.925,189000,20343.925,9.7,311.26
JQ7006J,6890733,21/01/2024,1,2024,PLT,1588.954,1508,415208,2080,413128.04,392080,21048.04,5.1,202.06
RO7331C,6890743,21/01/2024,1,2024,PLT,2365.667,2291,426108,288,425820.06,412380,13440.06,3.2,163.97
AB1535W,6890753,21/01/2024,1,2024,PLT,136.461,128,26022.5,95,25927.59,24320,1607.59,6.2,18.17
AB1535W,6890763,21/01/2024,1,2024,PLT,136.461,129,26022.5,95,25927.59,24510,1417.59,5.5,16.02
UW8901E,6890773,21/01/2024,1,2024,PLT,359.986,312,63120,122.5,62997.55,54600,8397.55,13.3,95.73
IO5454K,6890783,21/01/2024,1,2024,PLT,66.405,55,12511.2,93.5,12417.735,10285,2132.735,17.2,32.2
BP3944H,6890793,21/01/2024,1,2024,PLT,918.378,758,203583.08,1540,202043.16,166760,35283.16,17.5,416.34
BP3944H,6890803,21/01/2024,1,2024,PLT,918.378,910,203583.08,1540,202043.16,200200,1843.16,0.9,21.75
BP3944H,6890813,21/01/2024,1,2024,PLT,918.378,866,203583.08,1540,202043.16,190520,11523.16,5.7,135.97
JH5406A,6890823,21/01/2024,1,2024,PLT,907.217,875,163425,126,163299.06,157500,5799.06,3.6,124.1
VW4384W,6890833,21/01/2024,1,2024,PLT,838.111,873,159450,209,159241.09,165870,6628.91,-4.2,-113.35
LT0923X,6890843,21/01/2024,1,2024,PLT,209.984,209,42096.8,100,41996.8,41800,196.8,0.5,2.72
SX0386C,6890853,21/01/2024,1,2024,PAK,938,811,159579,119,159460,137870,21590,13.5,468.5
SX0386C,6890863,21/01/2024,1,2024,PAK,938,899,159579,119,159460,152830,6630,4.2,143.87
XT8427Y,6890873,21/01/2024,1,2024,PAK,1210.094,1034,205852,136,205715.98,175780,29935.98,14.6,431.08
AE9492A,6890883,24/01/2024,1,2024,PLT,299,285,54720,900,53820,51300,2520,4.7,37.04
JM1441K,6890893,24/01/2024,1,2024,PLT,1865.131,1775,337163.49,1440,335723.58,319500,16223.58,4.8,253.09
JM1441K,6890903,24/01/2024,1,2024,PLT,1865.131,1732,337163.49,1440,335723.58,311760,23963.58,7.1,373.83
HY6856M,6890913,24/01/2024,1,2024,PLT,115.375,113,22871.3,950,21921.25,21470,451.25,2.1,8.12
WS4394K,6890923,24/01/2024,1,2024,PLT,208.312,158,54291.165,130,54161.12,41080,13081.12,24.2,154.36
XN9390W,6890933,24/01/2024,1,2024,PLT,303.136,246,54654.5,90,54564.48,44280,10284.48,18.8,140.9
SZ5543Q,6890943,24/01/2024,1,2024,PLT,241.453,175,43605.5,144,43461.54,31500,11961.54,27.5,296.65
UM2930G,6890953,24/01/2024,1,2024,PLT,318.669,239,55854.5,87.5,55767.075,41825,13942.075,25,303.94
YW6837P,6890963,24/01/2024,1,2024,PLT,419.823,362,109336,182,109153.98,94120,15033.98,13.8,199.95
HS4030Z,6890973,24/01/2024,1,2024,PLT,147.842,125,27740.025,93.5,27646.454,23375,4271.454,15.5,111.48
VL0646O,6890983,24/01/2024,1,2024,PLT,208.508,160,41801.514,100,41701.6,32000,9701.6,23.3,578.22
TQ9608P,6890993,24/01/2024,1,2024,PLT,1100.171,1047,209184.4,152,209032.49,198930,10102.49,4.8,119.21
CK8573T,6891003,24/01/2024,1,2024,PLT,124.21,111,21824.2,87.5,21736.75,19425,2311.75,10.6,40.92
JQ7006J,6891013,24/01/2024,1,2024,PLT,1588.954,1350,415208,2080,413128.04,351000,62128.04,15,596.43
JQ7006J,6891023,24/01/2024,1,2024,PLT,1588.954,1449,415208,2080,413128.04,376740,36388.04,8.8,349.33
ER5186B,6891033,24/01/2024,1,2024,PLT,806.537,820,153375,133,153242.03,155800,2557.97,-1.7,-25.84
ER5186B,6891043,24/01/2024,1,2024,PLT,806.537,811,153375,133,153242.03,154090,847.97,-0.6,-8.56
NI2398W,6891053,24/01/2024,1,2024,PLT,147.518,138,26643.25,90,26553.24,24840,1713.24,6.5,25.87
NI2398W,6891063,24/01/2024,1,2024,PLT,147.518,135,26643.25,90,26553.24,24300,2253.24,8.5,34.02
FI0222V,6891073,24/01/2024,1,2024,PLT,851.671,880,159505.5,243.1,159262.477,164560,5297.523,-3.3,-98.53
UF3027B,6891083,24/01/2024,1,2024,PLT,137.03,133,26130.75,95,26035.7,25270,765.7,2.9,11.33
JU8568U,6891093,24/01/2024,1,2024,PLT,331.461,311,63110.55,133,62977.59,59090,3887.59,6.2,46.26
VL2221U,6891103,24/01/2024,1,2024,PLT,129.075,129,25915,100,25815,25800,15,0.1,0.18
OR0171G,6891113,24/01/2024,1,2024,PLT,2303.244,2230,414872,288,414583.92,401400,13183.92,3.2,286.09
NR9725U,6891123,24/01/2024,1,2024,PLT,80.495,54,25950.25,192,25758.4,17280,8478.4,32.9,158.55
ZT5733A,6891133,24/01/2024,1,2024,PLT,337.283,320,64216.8,133,64083.77,60800,3283.77,5.1,37.11
JW3722P,6891143,24/01/2024,1,2024,PLT,291.449,229,52550.753,90,52460.82,41220,11240.82,21.4,319.24
JW3722P,6891153,24/01/2024,1,2024,PLT,291.449,225,52550.753,90,52460.82,40500,11960.82,22.8,339.69
JY8910V,6891163,24/01/2024,1,2024,PLT,285.725,217,51520.451,90,51430.5,39060,12370.5,24.1,290.71
SX0386C,6891173,24/01/2024,1,2024,PAK,938,849,159579,119,159460,144330,15130,9.5,328.32
DY9426M,6891183,24/01/2024,1,2024,PAK,1255.624,1171,213728,272,213456.08,199070,14386.08,6.7,191.33
BS9035V,6891193,24/01/2024,1,2024,PAK,665.618,645,113274,119,113155.06,109650,3505.06,3.1,89.38
BS9035V,6891203,24/01/2024,1,2024,PAK,665.618,633,113274,119,113155.06,107610,5545.06,4.9,141.4
BS9035V,6891213,24/01/2024,1,2024,PAK,665.618,672,113274,119,113155.06,114240,1084.94,-1,-27.67
JM1441K,6891223,25/01/2024,1,2024,PLT,1865.131,1630,337163.49,1440,335723.58,293400,42323.58,12.6,660.25
JM1441K,6891233,25/01/2024,1,2024,PLT,1865.131,1114,337163.49,1440,335723.58,200520,135203.58,40.3,2109.18
GU2783J,6891243,25/01/2024,1,2024,PLT,1080.187,910,196413.6,1980,194433.66,163800,30633.66,15.8,453.38
ON0348A,6891253,25/01/2024,1,2024,PLT,969.895,876,175841.16,1260,174581.1,157680,16901.1,9.7,300.84
JZ3694M,6891263,25/01/2024,1,2024,PLT,52.843,40,10816.6,935,9881.641,7480,2401.641,24.3,37.71
UL5050K,6891273,25/01/2024,1,2024,PLT,298.804,149,54684.75,900,53784.72,26820,26964.72,50.1,415.26
UL5050K,6891283,25/01/2024,1,2024,PLT,298.804,263,54684.75,900,53784.72,47340,6444.72,12,99.25
YQ5607V,6891293,25/01/2024,1,2024,PLT,1214.589,573,220066,1440,218626.02,103140,115486.02,52.8,2413.66
IR3867R,6891303,25/01/2024,1,2024,PLT,57.195,48,10924.1,57,10867.05,9120,1747.05,16.1,27.25
XN9390W,6891313,25/01/2024,1,2024,PLT,303.136,187,54654.5,90,54564.48,33660,20904.48,38.3,286.39
YW6837P,6891323,25/01/2024,1,2024,PLT,419.823,344,109336,182,109153.98,89440,19713.98,18.1,262.2
YW6837P,6891333,25/01/2024,1,2024,PLT,419.823,343,109336,182,109153.98,89180,19973.98,18.3,265.65
YW6837P,6891343,25/01/2024,1,2024,PLT,419.823,250,109336,182,109153.98,65000,44153.98,40.5,587.25
UB1695Q,6891353,25/01/2024,1,2024,PAK,130.796,115,22320.4,85,22235.32,19550,2685.32,12.1,52.36
IV4853K,6891363,25/01/2024,1,2024,PAK,63.713,44,10899.155,68,10831.21,7480,3351.21,30.9,56.3
JQ7006J,6891373,25/01/2024,1,2024,PLT,1588.954,1580,415208,2080,413128.04,410800,2328.04,0.6,22.35
JQ7006J,6891383,25/01/2024,1,2024,PLT,1588.954,1387,415208,2080,413128.04,360620,52508.04,12.7,504.08
ER5186B,6891393,25/01/2024,1,2024,PLT,819.487,764,153375,130.9,153244.069,142868,10376.069,6.8,105.84
ER5186B,6891403,25/01/2024,1,2024,PLT,806.537,799,153375,133,153242.03,151810,1432.03,0.9,14.46
ER5186B,6891413,25/01/2024,1,2024,PLT,806.537,816,153375,133,153242.03,155040,1797.97,-1.2,-18.16
AB1535W,6891423,25/01/2024,1,2024,PLT,328.005,278,62454,133,62320.95,52820,9500.95,15.2,107.36
AY2463C,6891433,25/01/2024,1,2024,PLT,136.237,134,25980,95,25885.03,25460,425.03,1.6,4.42
SY8717I,6891443,25/01/2024,1,2024,PLT,135.554,113,25850.25,95,25755.26,21470,4285.26,16.6,44.14
ZQ2557X,6891453,25/01/2024,1,2024,PLT,94.343,87,18020.085,95,17925.17,16530,1395.17,7.8,22.04
IG7072I,6891463,25/01/2024,1,2024,PLT,1124.426,940,213774,133,213640.94,178600,35040.94,16.4,588.69
IG7072I,6891473,25/01/2024,1,2024,PLT,1124.426,955,213774,133,213640.94,181450,32190.94,15.1,540.81
KA5110O,6891483,25/01/2024,1,2024,PLT,172.616,166,32892,95,32797.04,31540,1257.04,3.8,21.75
IJ9081N,6891493,25/01/2024,1,2024,PLT,78.583,70,15025.68,95,14930.77,13300,1630.77,10.9,23.32
HB4287V,6891503,25/01/2024,1,2024,PLT,1817.217,720,418144,184,417959.91,165600,252359.91,60.4,4214.41
HB4287V,6891513,25/01/2024,1,2024,PLT,1817.217,1624,418144,184,417959.91,373520,44439.91,10.6,742.15
JU5516Q,6891523,25/01/2024,1,2024,PLT,149.105,136,28425,95,28329.95,25840,2489.95,8.8,87.65
RD5975P,6891533,25/01/2024,1,2024,PLT,332.445,321,59966.11,126,59840.1,57780,2060.1,3.4,59.54
RD5975P,6891543,25/01/2024,1,2024,PLT,332.445,317,59966.11,126,59840.1,57060,2780.1,4.6,80.34
ZW1189Q,6891553,25/01/2024,1,2024,PLT,135.638,106,25866.145,95,25771.22,20140,5631.22,21.9,79.96
NO4982Q,6891563,25/01/2024,1,2024,PLT,95.138,87,17884.34,93.5,17790.806,16269,1521.806,8.6,18.26
YB9771K,6891573,25/01/2024,1,2024,PLT,54.741,40,10457.7,57,10400.79,7600,2800.79,26.9,32.49
JW3722P,6891583,25/01/2024,1,2024,PLT,291.449,220,52550.753,90,52460.82,39600,12860.82,24.5,365.25
JW3722P,6891593,25/01/2024,1,2024,PLT,299.79,235,52550.753,87.5,52463.25,41125,11338.25,21.6,331.08
JY8910V,6891603,25/01/2024,1,2024,PLT,285.725,223,51520.451,90,51430.5,40140,11290.5,22,265.33
VC9503G,6891613,25/01/2024,1,2024,PLT,145.824,88,26338.25,90,26248.32,15840,10408.32,39.7,129.06
YA1133E,6891623,25/01/2024,1,2024,PLT,124.638,114,22524.82,90,22434.84,20520,1914.84,8.5,35.81
BT2341N,6891633,25/01/2024,1,2024,PAK,119.441,89,20390,85,20304.97,15130,5174.97,25.5,57.44
SC8217N,6891643,25/01/2024,1,2024,PAK,122.16,98,20852.12,85,20767.2,16660,4107.2,19.8,63.66
FX7767B,6891653,25/01/2024,1,2024,PAK,369.535,316,62940,119,62820.95,53720,9100.95,14.5,182.02
JM1441K,6891663,26/01/2024,1,2024,PLT,1865.131,1739,337163.49,1440,335723.58,313020,22703.58,6.8,354.18
ON0348A,6891673,26/01/2024,1,2024,PLT,969.895,916,175841.16,1260,174581.1,164880,9701.1,5.6,172.68
ON0348A,6891683,26/01/2024,1,2024,PLT,969.895,872,175841.16,1260,174581.1,156960,17621.1,10.1,313.66
XN9390W,6891693,26/01/2024,1,2024,PLT,303.136,262,54654.5,90,54564.48,47160,7404.48,13.6,101.44
UM2930G,6891703,26/01/2024,1,2024,PLT,309.803,233,55854.5,90,55764.54,41940,13824.54,24.8,293.08
YW6837P,6891713,26/01/2024,1,2024,PLT,419.823,299,109336,182,109153.98,77740,31413.98,28.8,417.81
YW6837P,6891723,26/01/2024,1,2024,PLT,419.823,363,109336,182,109153.98,94380,14773.98,13.5,196.49
IV4853K,6891733,26/01/2024,1,2024,PAK,63.413,46,10899.155,119,10780.21,7820,2960.21,27.5,49.73
JQ7006J,6891743,26/01/2024,1,2024,PLT,1588.954,1494,415208,2080,413128.04,388440,24688.04,6,237.01
JQ7006J,6891753,26/01/2024,1,2024,PLT,1588.954,1569,415208,2080,413128.04,407940,5188.04,1.3,49.81
ER5186B,6891763,26/01/2024,1,2024,PLT,806.537,827,153375,133,153242.03,157130,3887.97,-2.5,-39.27
ER5186B,6891773,26/01/2024,1,2024,PLT,806.537,816,153375,133,153242.03,155040,1797.97,-1.2,-18.16
RO7331C,6891783,26/01/2024,1,2024,PLT,2365.667,2248,426108,288,425820.06,404640,21180.06,5,258.4
UU5151Q,6891793,26/01/2024,1,2024,PLT,94.165,91,17986.365,95,17891.35,17290,601.35,3.4,7.94
AJ1887U,6891803,26/01/2024,1,2024,PLT,925.943,883,213128,161,212966.89,203090,9876.89,4.6,95.81
JE3805V,6891813,26/01/2024,1,2024,PLT,136.272,133,25986.75,95,25891.68,25270,621.68,2.4,7.02
OU9342D,6891823,26/01/2024,1,2024,PLT,144.55,119,25453.75,157.5,25296.25,20825,4471.25,17.7,48.74
OU9342D,6891833,26/01/2024,1,2024,PLT,140.51,122,25453.75,162,25291.8,21960,3331.8,13.2,35.32
JU8568U,6891843,26/01/2024,1,2024,PLT,331.461,327,63110.55,133,62977.59,62130,847.59,1.3,10.09
JH5406A,6891853,26/01/2024,1,2024,PLT,907.217,886,163425,126,163299.06,159480,3819.06,2.3,81.73
MK4982E,6891863,26/01/2024,1,2024,PLT,37.595,53,7200,57,7143.05,10070,2926.95,-41,-40.39
EJ7514O,6891873,26/01/2024,1,2024,PLT,137.658,95,26250,95,26155.02,18050,8105.02,31,98.88
QP6157U,6891883,26/01/2024,1,2024,PLT,92.764,85,17720.12,95,17625.16,16150,1475.16,8.4,17.26
RD5975P,6891893,26/01/2024,1,2024,PLT,332.445,284,59966.11,126,59840.1,51120,8720.1,14.6,252.01
HX0395S,6891903,26/01/2024,1,2024,PLT,113.126,93,26134,115,26018.98,21390,4628.98,17.8,79.62
PT4146F,6891913,26/01/2024,1,2024,PLT,870.364,834,157925.492,1260,156665.52,150120,6545.52,4.2,111.93
PT4146F,6891923,26/01/2024,1,2024,PLT,870.364,887,157925.492,1260,156665.52,159660,2994.48,-1.9,-51.21
YJ1010S,6891933,26/01/2024,1,2024,PLT,1085.926,1009,206478,152,206325.94,191710,14615.94,7.1,157.85
QM1827B,6891943,26/01/2024,1,2024,PLT,53.832,41,10323,95,10228.08,7790,2438.08,23.8,41.93
JY8910V,6891953,26/01/2024,1,2024,PLT,285.725,227,51520.451,90,51430.5,40860,10570.5,20.6,248.41
JY8910V,6891963,26/01/2024,1,2024,PLT,285.725,224,51520.451,90,51430.5,40320,11110.5,21.6,261.1
YA1133E,6891973,26/01/2024,1,2024,PLT,124.638,107,22524.82,90,22434.84,19260,3174.84,14.2,59.37
SX0386C,6891983,26/01/2024,1,2024,PAK,938,747,159579,119,159460,126990,32470,20.4,704.6
MW3029Y,6891993,26/01/2024,1,2024,PAK,1239.2,1167,210800,136,210664,198390,12274,5.8,144.83
SA2071C,6892003,26/01/2024,1,2024,PAK,348.465,301,59460,221,59239.05,51170,8069.05,13.6,170.26
JM1441K,6892013,27/01/2024,1,2024,PLT,1865.131,1762,337163.49,1440,335723.58,317160,18563.58,5.5,289.59
JM1441K,6892023,27/01/2024,1,2024,PLT,1865.131,1413,337163.49,1440,335723.58,254340,81383.58,24.2,1269.58
GU2783J,6892033,27/01/2024,1,2024,PLT,1080.187,1009,196413.6,1980,194433.66,181620,12813.66,6.6,189.64
ON0348A,6892043,27/01/2024,1,2024,PLT,969.895,970,175841.16,1260,174581.1,174600,18.9,0,-0.34
HY6856M,6892053,27/01/2024,1,2024,PLT,115.375,110,22871.3,950,21921.25,20900,1021.25,4.7,18.38
EI0909S,6892063,27/01/2024,1,2024,PLT,272.014,236,54502.82,100,54402.8,47200,7202.8,13.2,123.89
YW6837P,6892073,27/01/2024,1,2024,PLT,419.823,357,109336,182,109153.98,92820,16333.98,15,217.24
YW6837P,6892083,27/01/2024,1,2024,PLT,419.823,355,109336,182,109153.98,92300,16853.98,15.4,224.16
ZD2214Q,6892093,27/01/2024,1,2024,PLT,944.245,813,170090.16,126,169964.1,146340,23624.1,13.9,354.36
GF2716Q,6892103,27/01/2024,1,2024,PLT,1719.317,1635,310917,1440,309477.06,294300,15177.06,4.9,182.12
CK8573T,6892113,27/01/2024,1,2024,PLT,120.746,114,21824.2,90,21734.28,20520,1214.28,5.6,20.89
JQ7006J,6892123,27/01/2024,1,2024,PLT,1588.954,1495,415208,2080,413128.04,388700,24428.04,5.9,234.51
JQ7006J,6892133,27/01/2024,1,2024,PLT,1588.954,1371,415208,2080,413128.04,356460,56668.04,13.7,544.01
GE2425T,6892143,27/01/2024,1,2024,PLT,335.786,289,63932.4,133,63799.34,54910,8889.34,13.9,102.23
UF3027B,6892153,27/01/2024,1,2024,PLT,137.03,123,26130.75,95,26035.7,23370,2665.7,10.2,39.45
UF3027B,6892163,27/01/2024,1,2024,PLT,137.03,0,26130.75,95,26035.7,0,26035.7,100,385.33
AG3531A,6892173,27/01/2024,1,2024,PLT,150.097,123,28161.65,93.5,28068.139,23001,5067.139,18.1,55.23
AG3531A,6892183,27/01/2024,1,2024,PLT,147.719,130,28161.65,95,28066.61,24700,3366.61,12,36.02
KP0430R,6892193,27/01/2024,1,2024,PLT,113.609,91,26314,184,26130.07,20930,5200.07,19.9,100.88
NR9725U,6892203,27/01/2024,1,2024,PLT,80.495,64,25950.25,192,25758.4,20480,5278.4,20.5,98.71
PT4146F,6892213,27/01/2024,1,2024,PLT,870.364,848,157925.492,1260,156665.52,152640,4025.52,2.6,68.84
PT4146F,6892223,27/01/2024,1,2024,PLT,870.364,804,157925.492,1260,156665.52,144720,11945.52,7.6,204.27
PT4146F,6892233,27/01/2024,1,2024,PLT,870.364,863,157925.492,1260,156665.52,155340,1325.52,0.8,22.67
JY8910V,6892243,27/01/2024,1,2024,PLT,285.725,234,51520.451,90,51430.5,42120,9310.5,18.1,218.8
SX0386C,6892253,27/01/2024,1,2024,PAK,938,840,159579,119,159460,142800,16660,10.4,361.52
SX0386C,6892263,27/01/2024,1,2024,PAK,938,880,159579,119,159460,149600,9860,6.2,213.96
MW3029Y,6892273,27/01/2024,1,2024,PAK,1239.2,1129,210800,136,210664,191930,18734,8.9,221.06
SA2071C,6892283,27/01/2024,1,2024,PAK,698.229,656,118920,221,118698.93,111520,7178.93,6,151.48
LU1488S,6892293,27/01/2024,1,2024,PAK,1858.671,1712,316110,136,315974.07,291040,24934.07,7.9,341.6
BS9035V,6892303,27/01/2024,1,2024,PAK,665.618,609,113274,119,113155.06,103530,9625.06,8.5,245.44
JM1441K,6892313,28/01/2024,1,2024,PLT,1865.131,1470,337163.49,1440,335723.58,264600,71123.58,21.2,1109.53
BV5115K,6892323,28/01/2024,1,2024,PLT,83.926,66,21781.9,129,21652.908,17028,4624.908,21.4,55.5
CT1716F,6892333,28/01/2024,1,2024,PLT,908.957,679,163738.2,126,163612.26,122220,41392.26,25.3,629.16
SZ5543Q,6892343,28/01/2024,1,2024,PLT,241.453,171,43605.5,144,43461.54,30780,12681.54,29.2,314.5
HS4030Z,6892353,28/01/2024,1,2024,PLT,145.5,134,27740.025,95,27645,25460,2185,7.9,56.15
HS4030Z,6892363,28/01/2024,1,2024,PLT,145.5,124,27740.025,95,27645,23560,4085,14.8,104.98
HS4030Z,6892373,28/01/2024,1,2024,PLT,145.5,133,27740.025,95,27645,25270,2375,8.6,61.04
GF2716Q,6892383,28/01/2024,1,2024,PLT,1719.317,1745,310917,1440,309477.06,314100,4622.94,-1.5,-55.48
OL2692A,6892393,28/01/2024,1,2024,PLT,1169.511,1107,210656,144,210511.98,199260,11251.98,5.3,151.9
ER5186B,6892403,28/01/2024,1,2024,PLT,806.537,767,153375,133,153242.03,145730,7512.03,4.9,75.87
RO7331C,6892413,28/01/2024,1,2024,PLT,2365.667,2198,426108,288,425820.06,395640,30180.06,7.1,368.2
ZL6812C,6892423,28/01/2024,1,2024,PLT,142.658,115,27200,95,27105.02,21850,5255.02,19.4,69.89
RL3369N,6892433,28/01/2024,1,2024,PLT,349.739,324,63079.02,126,62953.02,58320,4633.02,7.4,96.83
JO6751Q,6892443,28/01/2024,1,2024,PLT,56.062,43,10746.715,95,10651.78,8170,2481.78,23.3,28.04
FE6647F,6892453,28/01/2024,1,2024,PLT,90.543,64,20940,115,20824.89,14720,6104.89,29.3,58.61
PT4146F,6892463,28/01/2024,1,2024,PLT,870.364,656,157925.492,1260,156665.52,118080,38585.52,24.6,659.81
PT4146F,6892473,28/01/2024,1,2024,PLT,870.364,854,157925.492,1260,156665.52,153720,2945.52,1.9,50.37
UQ4577A,6892483,28/01/2024,1,2024,PLT,541.721,499,103060,133,102926.99,94810,8116.99,7.9,144.48
SX0386C,6892493,28/01/2024,1,2024,PAK,938,902,159579,119,159460,153340,6120,3.8,132.8
SX0386C,6892503,28/01/2024,1,2024,PAK,938,800,159579,119,159460,136000,23460,14.7,509.08
LU1488S,6892513,28/01/2024,1,2024,PAK,1858.671,1594,316110,136,315974.07,270980,44994.07,14.2,616.42
MB2032F,6892523,31/01/2024,1,2024,PLT,905.563,703,164261.25,1260,163001.34,126540,36461.34,22.4,576.09
GC3069E,6892533,31/01/2024,1,2024,PLT,86.03,77,17295.675,950,16345.7,14630,1715.7,10.5,31.57
VS9358F,6892543,31/01/2024,1,2024,PLT,1081.067,670,196572,1980,194592.06,120600,73992.06,38,1072.88
SQ1707I,6892553,31/01/2024,1,2024,PLT,946.797,20,171683.37,1260,170423.46,3600,166823.46,97.9,3086.23
YQ5607V,6892563,31/01/2024,1,2024,PLT,1249.52,1105,220066,1400,218666,193375,25291,11.6,543.76
BF7677I,6892573,31/01/2024,1,2024,PLT,137.763,118,27125,950,26174.97,22420,3754.97,14.3,67.96
CI3726D,6892583,31/01/2024,1,2024,PLT,941.986,826,169683.42,126,169557.48,148680,20877.48,12.3,373.71
RF4956X,6892593,31/01/2024,1,2024,PLT,606.78,518,109346.322,126,109220.4,93240,15980.4,14.6,252.49
XN9390W,6892603,31/01/2024,1,2024,PLT,303.136,249,54654.5,90,54564.48,44820,9744.48,17.9,133.5
VF5276R,6892613,31/01/2024,1,2024,PLT,911.977,679,164281.8,126,164155.86,122220,41935.86,25.5,666.78
GV4710J,6892623,31/01/2024,1,2024,PLT,107.916,88,20273.831,93.5,20180.292,16456,3724.292,18.5,74.11
EG2772G,6892633,31/01/2024,1,2024,PLT,944.314,815,170102.46,126,169976.52,146700,23276.52,13.7,356.13
VL0646O,6892643,31/01/2024,1,2024,PLT,208.508,163,41801.514,100,41701.6,32600,9101.6,21.8,542.46
